2020-01-14 21:13:31.508 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:13:31.511 [main] ERROR DriverManager - Browser firefox doesn't match with configutation defaulting to CHROME
2020-01-14 21:13:32.699 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ccad04e967f452adb918d14c0b41aaf4) 
2020-01-14 21:13:39.381 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ccad04e967f452adb918d14c0b41aaf4) 
2020-01-14 21:14:57.833 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:14:57.836 [main] ERROR DriverManager - Browser firefox doesn't match with configutation defaulting to CHROME
2020-01-14 21:14:59.209 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (6f37d19311e3a2926b00200567ee4116) 
2020-01-14 21:15:04.322 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (6f37d19311e3a2926b00200567ee4116) 
2020-01-14 21:15:19.124 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:15:19.126 [main] ERROR DriverManager - Browser firefox doesn't match with configutation defaulting to CHROME
2020-01-14 21:15:20.298 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ebcfd2297cf7ce3f507fc220b1090835) 
2020-01-14 21:15:25.595 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ebcfd2297cf7ce3f507fc220b1090835) 
2020-01-14 21:15:57.331 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:16:00.360 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (f875e2b0-17a4-c440-9a34-28b89e218c3c) 
2020-01-14 21:16:05.786 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (f875e2b0-17a4-c440-9a34-28b89e218c3c) 
2020-01-14 21:20:21.392 [main] FATAL co.pragra.b18.config.FrameWorkConfig - Check if file  src/test/resources/framework.properties  exists
2020-01-14 21:20:21.395 [main] FATAL co.pragra.b18.config.FrameWorkConfig - src/test/resources/framework.properties (No such file or directory)
2020-01-14 21:20:21.395 [main] FATAL co.pragra.b18.config.FrameWorkConfig - Exiting the run
2020-01-14 21:21:02.940 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:21:05.546 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (190bddea-7b38-744a-a3d9-81f9f5bb9621) 
2020-01-14 21:21:11.395 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (190bddea-7b38-744a-a3d9-81f9f5bb9621) 
2020-01-14 21:54:13.437 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:54:16.306 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (e443eaee-e7ee-334c-8380-c7fe1544c8e7) 
2020-01-14 21:55:33.187 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:55:35.913 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (6efb91f7-fb1a-fd4f-b9f1-5336bd02829d) 
2020-01-14 21:56:09.028 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:56:11.594 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (a8ccbb85-8598-9548-a9a1-e437d57d94d3) 
2020-01-14 21:57:41.572 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-14 21:57:44.117 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (7c4ae7a5-ac6f-6a4a-9923-db21262c03ab) 
2020-01-18 10:27:00.893 [main] INFO  DriverManager - Initializing driver for browser type firefox 
2020-01-18 10:27:05.405 [main] INFO  DriverManager - Returning the driver instance FirefoxDriver: firefox on MAC (40ff9d2c-97b1-b242-a224-c2f35fedccdb) 
2020-01-18 10:29:34.381 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:29:36.187 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (6c69174c87da9d0a9097764338454be5) 
2020-01-18 10:29:40.832 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (null) 
2020-01-18 10:29:40.834 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (null) 
2020-01-18 10:30:51.979 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:30:53.170 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (598b33b363682620434a2be68d92dd95) 
2020-01-18 10:30:54.907 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (598b33b363682620434a2be68d92dd95) 
2020-01-18 10:35:29.332 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:35:30.676 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (a70a3192519eac375f1b0496e8aa8d25) 
2020-01-18 10:35:32.519 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (a70a3192519eac375f1b0496e8aa8d25) 
2020-01-18 10:36:18.186 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:36:19.408 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (d0cada71df6e47b4d8f8ef049921158a) 
2020-01-18 10:36:21.126 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (d0cada71df6e47b4d8f8ef049921158a) 
2020-01-18 10:36:53.008 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:36:54.191 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (6f778b0d1cae52ecbd721103a240b56d) 
2020-01-18 10:36:55.933 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (6f778b0d1cae52ecbd721103a240b56d) 
2020-01-18 10:39:24.407 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:39:25.622 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (a0336cd1dd12f4b1a1680edcc6c07bc7) 
2020-01-18 10:39:29.539 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (a0336cd1dd12f4b1a1680edcc6c07bc7) 
2020-01-18 10:40:25.497 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 10:40:26.689 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ea66c3417c1b16f608aa35a4341d133b) 
2020-01-18 10:40:30.659 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ea66c3417c1b16f608aa35a4341d133b) 
2020-01-18 11:28:04.054 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-18 11:28:05.461 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (189a5364d51ce2f64513d320b62a8a2d) 
2020-01-21 21:06:37.245 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:06:41.494 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ca6e8f0b86b7a5b7979c18b7c3449ec1) 
2020-01-21 21:06:43.656 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (ca6e8f0b86b7a5b7979c18b7c3449ec1) 
2020-01-21 21:08:05.851 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:08:07.180 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (a781dce6f2871ae1bdf1c06997af5bdd) 
2020-01-21 21:16:21.216 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:16:23.011 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (fb16934f3e41b47ea28c9716fe7d0ea7) 
2020-01-21 21:18:05.768 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:18:07.515 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (8bfe2f2301b4e3785910a34b3c1f2f6b) 
2020-01-21 21:21:06.049 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:21:07.338 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (d567e7f24e89332260709e0ec25ab29d) 
2020-01-21 21:22:23.772 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:22:25.026 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (3670d4e5e6048d37c8226872b483b2bd) 
2020-01-21 21:38:31.739 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:38:33.608 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (c442ac29a6dd3b662ab9782a0cf3b27a) 
2020-01-21 21:40:29.569 [main] INFO  DriverManager - Initializing driver for browser type chrome 
2020-01-21 21:40:31.444 [main] INFO  DriverManager - Returning the driver instance ChromeDriver: chrome on MAC (4746d1adc374c57231cbef44e0743982) 
